id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
1144,FORD,"FIESTA Fiesta","Fiesta 1.5 TDCi 75 Edition",11406220,LORIENT,136284,,5900.0,sold,https://vpauto.fr/vehicule/46e3d02044/ford-fiesta-15-tdci-75-edition
1313,FORD,"FOCUS SW","Focus SW 1.5 EcoBlue 120 S&S BVA8 Active",11400103,LORIENT,74074,,14100.0,sold,https://vpauto.fr/vehicule/d82e34544/ford-focus-sw-15-ecoblue-120-ss-bva8-active
838,FORD,"Fiesta 1.0","Fiesta 1.0 EcoBoost 100 Trend",11389979,LORIENT,168604,,3200.0,sold,https://vpauto.fr/vehicule/ef62720a44/ford-fiesta-10-ecoboost-100-trend
985,FORD,"Focus 1.5","Focus 1.5 EcoBlue 120 S&S BVA8 Titanium X Business",11404484,LORIENT,141368,9600.0,,unsold,https://vpauto.fr/vehicule/d913b39d44/ford-focus-15-ecoblue-120-ss-bva8-titanium-x-business
1955,FORD,"KUGA 0921","Kuga 2.5 Duratec 190 ch FHEV Powershift ST-Line",,LORIENT,0,,,available,https://vpauto.fr/vehicule/603eb9d844/ford-kuga-0921
442,FORD,"Kuga 2.0","Kuga 2.0 TDCi 150 S&S 4x4 Powershift Titanium Business",11359773,LORIENT,156469,,8800.0,sold,https://vpauto.fr/vehicule/eb7eb35844/ford-kuga-20-tdci-150-ss-4x4-powershift-titanium-business
1214,FORD,"Mustang Mach-E","Mustang Mach-E Standard Range 76 kWh 269 ch",11387296,LORIENT,32400,,24200.0,sold,https://vpauto.fr/vehicule/27a973c44/ford-mustang-mach-e-standard-range-76-kwh-269-ch
1741,FORD,"Puma 1.0","Puma 1.0 Flexifuel 125 ch S&S mHEV ST-Line X",,LORIENT,32209,16000.0,,available,https://vpauto.fr/vehicule/430d054044/ford-puma-10-flexifuel-125-ch-ss-mhev-st-line-x
227,FORD,"Puma 1.0","Puma 1.0 Flexifuel 125 ch S&S mHEV ST-Line X",11395424,LORIENT,50496,,14900.0,sold,https://www.vpauto.fr/vehicule/244cc94344/ford-puma-10-flexifuel-125-ch-ss-mhev-st-line-x
1047,FORD,"TRANSIT CHASSIS","TRANSIT CHASSIS CABINE TRANSIT CHC T350 L2 2.0 ECOBLUE 130 S&S AMBIENTE",11406228,LORIENT,114529,,,available,https://vpauto.fr/vehicule/f795caaa44/ford-transit-chassis-cabine-transit-chc-t350-l2-20-ecoblue-130-ss-ambiente
770,FORD,"TRANSIT CUSTOM","Transit Custom 320 L2H1 2.0 EcoBlue 130 mHEV Trend Business 9 places",11399247,LORIENT,144249,19000.0,,unsold,https://vpauto.fr/vehicule/ce71943d44/ford-transit-custom-320-l2h1-20-ecoblue-130-mhev-trend-business-9-places
482,FORD,"TRANSIT FGN","TRANSIT FGN T350 L3H2 2.0 ECOBLUE 130 S&S TREND BUSINESS",11399239,LORIENT,149756,9200.0,,unsold,https://vpauto.fr/vehicule/61bf280e44/ford-transit-fgn-t350-l3h2-20-ecoblue-130-ss-trend-business
384,JEEP,"Grand Cherokee","Grand Cherokee V6 3.0 CRD 250 Overland A",11387353,LORIENT,186915,12600.0,,unsold,https://vpauto.fr/vehicule/e4009d5a44/jeep-grand-cherokee-v6-30-crd-250-overland-a
811,KERENZO,"REMORQUE FOOD","REMORQUE FOOD TRUCK",11360589,LORIENT,0,,5000.0,sold,https://vpauto.fr/vehicule/bf3f5fce44/kerenzo-remorque-food-truck
1294,KIA,"SPORTAGE Sportage","Sportage 1.6 CRDi 136ch MHEV DCT7 4x2 Active",11399675,LORIENT,111266,18700.0,,unsold,https://vpauto.fr/vehicule/9b8eb55944/kia-sportage-16-crdi-136ch-mhev-dct7-4x2-active
1966,KIA,"e-Niro Electrique","e-Niro Electrique 204 ch Premium",,LORIENT,0,,,available,https://vpauto.fr/vehicule/c86f7c0f44/kia-e-niro-electrique-204-ch-premium
528,"LAND ROVER","Discovery Mark","Discovery Mark III Sd6 3.0 306 ch HSE Luxury société",11376364,LORIENT,46831,35000.0,,unsold,https://vpauto.fr/vehicule/fff75e4744/land-rover-discovery-mark-iii-sd6-30-306-ch-hse-luxury-societe
230,"LAND ROVER","Range Rover","Range Rover Velar 2.0L P400e PHEV 404ch HSE R-Dynamic",11396384,LORIENT,51448,,38000.0,sold,https://vpauto.fr/vehicule/12821d6044/land-rover-range-rover-velar-20l-p400e-phev-404ch-hse-r-dynamic
2251,LIGIER,"PRO PULSE","PRO PULSE 3",,LORIENT,34407,,,available,https://vpauto.fr/vehicule/3129884e44/ligier-pro-pulse-3
2249,LIGIER,"PRO PULSE","PRO PULSE 3",,LORIENT,39926,,,available,https://vpauto.fr/vehicule/3f6650b544/ligier-pro-pulse-3
1937,LIGIER,"PRO PULSE","PRO PULSE 3",,LORIENT,40022,,,available,https://vpauto.fr/vehicule/1ce39df744/ligier-pro-pulse-3
1901,LIGIER,"PRO PULSE","PRO PULSE 3",,LORIENT,46216,,,available,https://vpauto.fr/vehicule/887c94344/ligier-pro-pulse-3
1693,LIGIER,"PRO PULSE","PRO PULSE 3",,LORIENT,29083,500.0,,available,https://vpauto.fr/vehicule/c9c646c244/ligier-pro-pulse-3
820,LIGIER,"PRO PULSE","PRO PULSE 4",11388736,LORIENT,30381,,1200.0,sold,https://vpauto.fr/vehicule/75dcc15a44/ligier-pro-pulse-4
822,LIGIER,"PRO PULSE","PRO PULSE 4",11365499,LORIENT,41651,,700.0,sold,https://vpauto.fr/vehicule/3ad76bca44/ligier-pro-pulse-4
886,LIGIER,"PRO PULSE","PRO PULSE 4",11376175,LORIENT,46040,,600.0,sold,https://vpauto.fr/vehicule/ffc741f244/ligier-pro-pulse-4
795,LIGIER,"PRO PULSE","PRO PULSE 3",11365514,LORIENT,17673,,300.0,sold,https://vpauto.fr/vehicule/7341d23944/ligier-pro-pulse-3
882,LIGIER,"PRO PULSE","PRO PULSE 4",11370690,LORIENT,42000,,100.0,sold,https://vpauto.fr/vehicule/76b1215c44/ligier-pro-pulse-4
1298,LYNK,"& CO","& CO 01 PHEV Bleu médium métal /toit",11399248,LORIENT,123627,16800.0,,unsold,https://vpauto.fr/vehicule/447ba72144/lynk-co-01-phev
1427,MAZDA,"CX-5 2.2L","CX-5 2.2L Skyactiv-D 175 ch 4x4 BVA Selection",11361273,LORIENT,144414,,10800.0,sold,https://vpauto.fr/vehicule/7d5bd19e44/mazda-cx-5-22l-skyactiv-d-175-ch-4x4-bva-selection
678,MAZDA,"MX-30 e-Skyactiv","MX-30 e-Skyactiv 145 ch First Edition Modern Confidence Gris clair métal/Toit",11394781,LORIENT,64928,11400.0,,unsold,https://vpauto.fr/vehicule/ea18e65f44/mazda-mx-30-e-skyactiv-145-ch-first-edition-modern-confidence
1334,MERCEDES,"CLASSE C","CLASSE C W 203 C 180 Elegance",11403889,LORIENT,135953,100.0,,unsold,https://vpauto.fr/vehicule/f4598ddb44/mercedes-classe-c-w-203-c-180-elegance
294,MERCEDES,"Classe A","Classe A 250 e 8G-DCT Business Line",11389944,LORIENT,24985,21700.0,21400.0,sold,https://www.vpauto.fr/vehicule/f3df36b544/mercedes-classe-a-250-e-8g-dct-business-line
645,MG,"MG4 EV","MG4 EV 51kWh - 125 kW 2WD Standard",11395985,LORIENT,35706,,14600.0,sold,https://vpauto.fr/vehicule/1f78525944/mg-mg4-ev-51kwh-125-kw-2wd-standard
205,MINI,"Countryman 102","Countryman 102 ch BVA7 One Longstone",11392024,LORIENT,100367,,10000.0,sold,https://vpauto.fr/vehicule/d5c5f8c444/mini-countryman-102-ch-bva7-one-longstone
787,NISSAN,"QASHQAI 1.3","Qashqai 1.3 DIG-T 140 Tekna",11404529,LORIENT,129904,,9900.0,sold,https://vpauto.fr/vehicule/460b0d5f44/nissan-qashqai-13-dig-t-140-tekna
1975,NISSAN,"Qashqai 1.5","Qashqai 1.5 dCi 115 Tekna",,LORIENT,0,,,available,https://vpauto.fr/vehicule/dd74c8eb44/nissan-qashqai-15-dci-115-tekna
1424,OPEL,"Astra 1.5","Astra 1.5 Diesel 105 ch BVM6 Edition",11399240,LORIENT,34340,,,unsold,https://vpauto.fr/vehicule/6c2646cd44/opel-astra-15-diesel-105-ch-bvm6-edition
1308,OPEL,"Astra Sports","Astra Sports Tourer 1.5 Diesel 122 ch BVA9 Ultimate",11397031,LORIENT,128019,8800.0,,unsold,https://vpauto.fr/vehicule/5ec994ef44/opel-astra-sports-tourer-15-diesel-122-ch-bva9-ultimate
1959,OPEL,"Corsa 1.2","Corsa 1.2 Turbo 100 ch BVA8 GS Line",,LORIENT,30446,,,available,https://vpauto.fr/vehicule/75bf43b344/opel-corsa-12-turbo-100-ch-bva8-gs-line
682,OPEL,"Corsa 1.2","Corsa 1.2 Turbo 100 ch BVM6 Elegance Business",11406161,LORIENT,78975,,8000.0,sold,https://vpauto.fr/vehicule/f58039c444/opel-corsa-12-turbo-100-ch-bvm6-elegance-business
1042,OPEL,"Corsa Electrique","Corsa Electrique 136 ch & Batterie 50 kWh Edition Rouge medium métal / Toit",11404582,LORIENT,70347,,11100.0,sold,https://vpauto.fr/vehicule/d33f4d2944/opel-corsa-electrique-136-ch-batterie-50-kwh-edition
