id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
1320,RENAULT,"KANGOO EXPRESS","KANGOO EXPRESS GRAND VOLUME MAXI 1.5 DCI 110 E6 GRAND CONFORT",11401932,LORIENT,115554,,8100.0,sold,https://vpauto.fr/vehicule/f30a3a3544/renault-kangoo-express-grand-volume-maxi-15-dci-110-e6-grand-confort
827,RENAULT,"KANGOO EXPRESS","KANGOO EXPRESS L1 1.5 DCI 75 GENERIQUE",11396282,LORIENT,140102,,1600.0,sold,https://vpauto.fr/vehicule/3238334844/renault-kangoo-express-l1-15-dci-75-generique
1980,RENAULT,"KANGOO Z.E.","KANGOO Z.E.",,LORIENT,4895,,,available,https://vpauto.fr/vehicule/916f733544/renault-kangoo-ze
891,RENAULT,"MASTER BENNE","MASTER BENNE BICABINE 2.2 DCI 90ch",11355627,LORIENT,185160,1000.0,,unsold,https://vpauto.fr/vehicule/64c66c044/renault-master-benne-bicabine-22-dci-90ch
467,RENAULT,"MASTER FGN","MASTER FGN TRAC F3500 L3H2 BLUE DCI 150 CONFORT",11400341,LORIENT,112218,,12900.0,sold,https://vpauto.fr/vehicule/b584bdb044/renault-master-fgn-trac-f3500-l3h2-blue-dci-150-confort
1326,RENAULT,"MASTER FOURGON","MASTER FOURGON L2H2 3.5t 2.3 dCi 110 E6 GRAND CONFORT",11396227,LORIENT,130427,,5300.0,sold,https://vpauto.fr/vehicule/9c89d8e044/renault-master-fourgon-l2h2-35t-23-dci-110-e6-grand-confort
2259,RENAULT,"MASTER TO","MASTER BENNE PROP RJ3500 L3 BLUE DCI 145 EURO VI CONFORT PS",,LORIENT,0,,,available,https://vpauto.fr/vehicule/d5274a2544/renault-master-to-petit-bs-cf-pr-rj3500-l3-blue-dci-14
606,RENAULT,"Megane E-Tech","MEGANE E-TECH 220 ch autonomie confort AC22 Techno Gris médium/toit",11402913,LORIENT,9510,,30800.0,sold,https://www.vpauto.fr/vehicule/46f5757244/renault-megane-e-tech-220-ch-autonomie-confort-ac22-techno
1969,RENAULT,"Scenic Blue","Scenic Blue dCi 120 EDC SL Black Edition",,LORIENT,0,,,available,https://vpauto.fr/vehicule/cc54d35b44/renault-scenic-blue-dci-120-sl-black-edition
1809,RENAULT,"Symbioz E-Tech","Symbioz E-Tech full hybrid 145 Esprit Alpine",,LORIENT,31999,,,available,https://vpauto.fr/vehicule/bc278a7644/renault-symbioz-e-tech-full-hybrid-145-esprit-alpine
902,RENAULT,"TRAFIC FG","TRAFIC FG BLUE DCI 130 L2H1 3T GSR2 ADVANCE",11404480,LORIENT,27838,,22100.0,sold,https://vpauto.fr/vehicule/e88ecc9344/renault-trafic-fg-blue-dci-130-l2h1-3t-gsr2-advance
518,RENAULT,"TRAFIC FGN","TRAFIC FGN L1H1 1000 KG DCI 95 E6 GRAND CONFORT",11382064,LORIENT,110083,,7000.0,sold,https://vpauto.fr/vehicule/5732019944/renault-trafic-fgn-l1h1-1000-kg-dci-95-e6-grand-confort
870,RENAULT,"Trafic L1H1","Trafic L1H1 1000 1.9 dCi 80 9 places",11397397,LORIENT,230812,5900.0,,unsold,https://vpauto.fr/vehicule/5568640244/renault-trafic-l1h1-1000-19-dci-80-9-places
1381,RENAULT,"Zoe Life","Zoe Life Gamme 2017 Achat intégral",11364458,LORIENT,55035,,7100.0,sold,https://vpauto.fr/vehicule/6f40bb4344/renault-zoe-life-gamme-2017-achat-integral
707,RENAULT,"Zoe R135","Zoe R135 Achat Intégral - 21 Exception",11404314,LORIENT,36065,,13800.0,sold,https://vpauto.fr/vehicule/b0f9f0ca44/renault-zoe-r135-achat-integral-21-exception
1331,SEAT,"IBIZA 1.6","IBIZA 1.6 Tdi 90 Fap Style",11381945,LORIENT,193664,900.0,,unsold,https://vpauto.fr/vehicule/9e283b1a44/seat-ibiza-16-tdi-90-fap-style
1369,SEAT,"Tarraco 2.0","Tarraco 2.0 TDI 190 ch Start/Stop DSG7 4Drive 7 pl Xcellence",11409092,LORIENT,96360,,22700.0,sold,https://vpauto.fr/vehicule/50bd664144/seat-tarraco-20-tdi-190-ch-startstop-dsg7-4drive-7-pl-xcellence
735,SKODA,"Fabia 1.0","Fabia 1.0 MPI 60 ch BVM5 Clever Midden blauw",11402100,LORIENT,119124,,7300.0,sold,https://vpauto.fr/vehicule/3df370f044/skoda-fabia-10-mpi-60-ch-bvm5-clever
317,SKODA,"Karoq 2.0","Karoq 2.0 TDI 116 ch SCR DSG7 Style",11409192,LORIENT,133076,,17400.0,sold,https://vpauto.fr/vehicule/2052687b44/skoda-karoq-20-tdi-116-ch-scr-dsg7-style
387,SKODA,"Octavia Combi","Octavia Combi 1.5 TSI mHEV e-TEC 150 ch ACT DSG7 Business",11386578,LORIENT,148180,11900.0,,unsold,https://vpauto.fr/vehicule/8776dec744/skoda-octavia-combi-15-tsi-mhev-e-tec-150-ch-act-dsg7-business
270,TESLA,"MODEL 3","MODEL 3 Autonomie Standard Plus RWD",11397017,LORIENT,77936,,24100.0,sold,https://vpauto.fr/vehicule/15adc56d44/tesla-model-3-autonomie-standard-plus-rwd
1297,TESLA,"MODEL 3","MODEL 3 Grande Autonomie AWD",11401660,LORIENT,120193,,23400.0,sold,https://vpauto.fr/vehicule/63f1b08544/tesla-model-3-grande-autonomie-awd
708,TOYOTA,"Aygo 1.0","Aygo 1.0 VVT-i x-play",11403071,LORIENT,37344,,9600.0,sold,https://vpauto.fr/vehicule/ec853bc744/toyota-aygo-10-vvt-i-x-play
785,TOYOTA,"Prius Pro","Prius Pro Hybride Rechargeable Dynamic Pack Premium Business",11398793,LORIENT,94225,18200.0,,unsold,https://vpauto.fr/vehicule/11fd909a44/toyota-prius-pro-hybride-rechargeable-dynamic-pack-premium-business
1973,TOYOTA,"Yaris 70","Yaris 70 VVT-i France Connect",,LORIENT,0,,,available,https://vpauto.fr/vehicule/9538967c44/toyota-yaris-70-vvt-i-france-connect
1961,TOYOTA,"Yaris Hybride","Yaris Hybride 116h",,LORIENT,0,,,available,https://vpauto.fr/vehicule/bf7a70d444/toyota-yaris-hybride-116h
1428,VOLKSWAGEN,"Crafter Combi","Crafter Combi TPMR 30 L2H1 2.0 TDI 136 FAP BlueMotion Technology 9pl",11393788,LORIENT,92828,16400.0,,unsold,https://vpauto.fr/vehicule/17c1451c44/volkswagen-crafter-combi-tpmr-30-l2h1-20-tdi-136-fap-bluemotion-technology-9pl
831,VOLKSWAGEN,"Passat SW","Passat SW 2.0 TDI 150 BMT DSG6 Confortline",11368567,LORIENT,175997,,6400.0,sold,https://vpauto.fr/vehicule/67e65dcc44/volkswagen-passat-sw-20-tdi-150-bmt-dsg6-confortline
1179,VOLKSWAGEN,"Scirocco 1.4","Scirocco 1.4 Tsi 160 Sportline",11401890,LORIENT,127162,,7000.0,sold,https://vpauto.fr/vehicule/c766064244/volkswagen-scirocco-14-tsi-160-sportline
256,VOLVO,"XC60 T6","XC60 T6 Recharge AWD 253 ch + 145 ch Geartronic 8 Start",11409161,LORIENT,123151,25600.0,,available,https://vpauto.fr/vehicule/6e7c8aa344/volvo-xc60-t6-recharge-awd-253-ch-145-ch-geartronic-8-start
